구분별,2020. 02. 04,2020. 02. 05,2020. 02. 06,2020. 02. 07,2020. 02. 08,2020. 02. 09,2020. 02. 10,2020. 02. 11,2020. 02. 12,2020. 02. 13,2020. 02. 14,2020. 02. 15,2020. 02. 16,2020. 02. 17,2020. 02. 18,2020. 02. 19,2020. 02. 20,2020. 02. 21,2020. 02. 22,2020. 02. 23,2020. 02. 24,2020. 02. 25,2020. 02. 26,2020. 02. 27,2020. 02. 28,2020. 02. 29,2020. 03. 01,2020. 03. 02,2020. 03. 03,2020. 03. 04,2020. 03. 05,2020. 03. 06,2020. 03. 07,2020. 03. 08,2020. 03. 09,2020. 03. 10,2020. 03. 11,2020. 03. 12,2020. 03. 13,2020. 03. 14,2020. 03. 15,2020. 03. 16,2020. 03. 17,2020. 03. 18,2020. 03. 19,2020. 03. 20,2020. 03. 21,2020. 03. 22,2020. 03. 23,2020. 03. 24,2020. 03. 25,2020. 03. 26,2020. 03. 27,2020. 03. 28,2020. 03. 29,2020. 03. 30,2020. 03. 31,2020. 04. 01,2020. 04. 02,2020. 04. 03,2020. 04. 04,2020. 04. 05,2020. 04. 06,2020. 04. 07,2020. 04. 08,2020. 04. 09,2020. 04. 10,2020. 04. 11,2020. 04. 12,2020. 04. 13,2020. 04. 14,2020. 04. 15,2020. 04. 16,2020. 04. 17,2020. 04. 18,2020. 04. 19,2020. 04. 20,2020. 04. 21,2020. 04. 22,2020. 04. 23,2020. 04. 24,2020. 04. 25,2020. 04. 26,2020. 04. 27,2020. 04. 28,2020. 04. 29,2020. 04. 30,2020. 05. 01,2020. 05. 02,2020. 05. 03,2020. 05. 04,2020. 05. 05,2020. 05. 06,2020. 05. 07,2020. 05. 08,2020. 05. 09,2020. 05. 10,2020. 05. 11,2020. 05. 12,2020. 05. 13,2020. 05. 14,2020. 05. 15,2020. 05. 16,2020. 05. 17,2020. 05. 18,2020. 05. 19,2020. 05. 20,2020. 05. 21,2020. 05. 22,2020. 05. 23,2020. 05. 24,2020. 05. 25,2020. 05. 26,2020. 05. 27,2020. 05. 28,2020. 05. 29,2020. 05. 30,2020. 05. 31,2020. 06. 01,2020. 06. 02,2020. 06. 03,2020. 06. 04,2020. 06. 05,2020. 06. 06,2020. 06. 07,2020. 06. 08,2020. 06. 09,2020. 06. 10,2020. 06. 11,2020. 06. 12,2020. 06. 13,2020. 06. 14,2020. 06. 15,2020. 06. 16,2020. 06. 17,2020. 06. 18,2020. 06. 19,2020. 06. 20,2020. 06. 21,2020. 06. 22,2020. 06. 23,2020. 06. 24,2020. 06. 25,2020. 06. 26,2020. 06. 27,2020. 06. 28,2020. 06. 29,2020. 06. 30,2020. 07. 01,2020. 07. 02,2020. 07. 03,2020. 07. 04,2020. 07. 05,2020. 07. 06,2020. 07. 07,2020. 07. 08,2020. 07. 09,2020. 07. 10,2020. 07. 11,2020. 07. 12,2020. 07. 13,2020. 07. 14,2020. 07. 15,2020. 07. 16,2020. 07. 17,2020. 07. 18,2020. 07. 19,2020. 07. 20,2020. 07. 21,2020. 07. 22,2020. 07. 23,2020. 07. 24,2020. 07. 25,2020. 07. 26,2020. 07. 27,2020. 07. 28,2020. 07. 29,2020. 07. 30,2020. 07. 31,2020. 08. 01,2020. 08. 02,2020. 08. 03,2020. 08. 04,2020. 08. 05,2020. 08. 06,2020. 08. 07,2020. 08. 08,2020. 08. 09,2020. 08. 10,2020. 08. 11,2020. 08. 12,2020. 08. 13,2020. 08. 14,2020. 08. 15,2020. 08. 16,2020. 08. 17,2020. 08. 18,2020. 08. 19,2020. 08. 20,2020. 08. 21,2020. 08. 22,2020. 08. 23,2020. 08. 24,2020. 08. 25,2020. 08. 26,2020. 08. 27,2020. 08. 28,2020. 08. 29,2020. 08. 30,2020. 08. 31,2020. 09. 01,2020. 09. 02,2020. 09. 03,2020. 09. 04,2020. 09. 05,2020. 09. 06,2020. 09. 07,2020. 09. 08,2020. 09. 09,2020. 09. 10,2020. 09. 11,2020. 09. 12,2020. 09. 13,2020. 09. 14,2020. 09. 15,2020. 09. 16,2020. 09. 17,2020. 09. 18,2020. 09. 19,2020. 09. 20,2020. 09. 21,2020. 09. 22,2020. 09. 23,2020. 09. 24,2020. 09. 25,2020. 09. 26,2020. 09. 27,2020. 09. 28,2020. 09. 29,2020. 09. 30,2020. 10. 01,2020. 10. 02,2020. 10. 03,2020. 10. 04,2020. 10. 05,2020. 10. 06,2020. 10. 07,2020. 10. 08,2020. 10. 09,2020. 10. 10,2020. 10. 11,2020. 10. 12,2020. 10. 13,2020. 10. 14,2020. 10. 15,2020. 10. 16,2020. 10. 17,2020. 10. 18,2020. 10. 19,2020. 10. 20,2020. 10. 21,2020. 10. 22,2020. 10. 23,2020. 10. 24,2020. 10. 25,2020. 10. 26,2020. 10. 27,2020. 10. 28,2020. 10. 29,2020. 10. 30,2020. 10. 31
서울,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,1,4,2,3,12,10,11,52,19,13,13,9,6,12,5,12,17,15,10,6,4,13,13,12,18,20,16,24,24,14,18,22,24,11,4,11,12,5,4,3,8,2,5,2,2,1,2,0,2,2,0,0,1,0,0,4,0,0,1,1,2,0,0,0,0,0,12,14,20,12,12,4,14,5,5,1,6,10,4,2,4,6,6,9,19,24,20,9,6,1,14,19,14,15,23,27,22,19,12,21,25,29,12,7,12,13,25,18,14,17,5,6,11,9,17,17,14,7,7,9,13,12,7,16,3,3,10,8,8,8,7,13,7,6,7,9,6,10,3,21,16,12,21,11,7,9,6,9,3,8,2,5,5,9,6,9,9,17,13,13,6,15,26,32,74,146,90,132,151,135,126,128,140,97,134,112,154,146,125,116,94,94,101,69,68,51,63,48,67,49,48,63,50,31,41,32,51,63,46,40,28,23,21,40,39,57,26,34,19,11,51,30,11,26,16,19,15,33,20,22,25,23,31,20,23,25,18,18,20,14,11,17,18,20,22,17,20,24,25,36,48,52
부산,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,-1,3,1,1,-1,0,2,1,1,3,3,1,0,0,0,1,0,0,1,2,1,0,1,1,3,1,1,3,0,0,0,0,0,1,2,0,1,0,0,0,0,1,3,0,0,0,2,0,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,5,1,1,2,1,0,0,1,1,0,1,0,3,0,0,0,1,9,4,2,5,3,7,7,7,9,15,8,3,2,3,3,4,8,8,6,6,4,3,7,4,4,10,2,9,1,2,1,3,4,3,3,4,4,2,2,2,6,8,5,7,7,3,2,3,1,3,5,6,18,8,5,5,3,2,5,5,3,3,4,1,2,55,0,6,4,15,2,10,5,0,0,1,0,1,0,0,0,2
대구,,,,,,,,,,,,,,,,,,,,,,,,,,,,469,,405,321,367,390,297,190,92,131,73,61,62,41,35,32,46,97,34,69,43,24,31,14,26,34,71,23,14,60,20,21,9,27,7,13,13,9,4,0,7,2,3,3,1,4,0,3,2,1,2,1,4,2,3,1,1,2,3,0,0,0,4,0,0,0,0,3,0,2,0,1,3,0,3,1,1,1,0,1,0,0,1,0,1,1,3,2,0,2,1,1,0,1,0,1,0,1,1,0,0,0,1,3,2,0,0,1,1,0,2,1,1,1,2,0,0,1,0,2,0,1,3,13,1,0,2,1,1,0,0,0,0,1,0,0,2,0,3,0,2,2,1,0,2,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,6,2,3,4,9,6,0,5,3,13,8,6,30,4,2,13,3,7,5,5,2,2,2,1,1,4,14,4,0,4,2,2,2,2,1,0,3,1,0,1,0,0,0,2,1,0,0,2,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,2,5,0,1,0,0,2,3,10,9
인천,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2,0,0,0,0,0,4,12,0,2,1,2,0,1,1,0,4,4,0,0,1,1,1,3,5,7,0,6,5,4,1,3,2,1,0,4,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,3,3,1,2,12,5,0,0,0,2,8,6,1,0,2,1,3,11,22,18,5,3,18,8,17,7,6,11,6,4,3,8,6,1,1,8,8,2,2,1,0,5,0,1,1,3,1,2,1,0,1,3,2,0,1,2,0,6,2,1,3,1,1,0,3,0,1,3,0,2,1,2,0,5,3,0,0,0,0,0,3,0,0,1,0,0,1,1,0,0,2,1,0,0,0,0,4,6,9,7,18,8,10,18,22,32,20,15,27,59,27,20,13,14,22,11,16,5,14,12,1,2,1,5,8,8,3,10,9,9,7,6,11,3,2,2,5,10,3,1,9,1,0,4,3,4,7,6,5,4,6,5,0,8,1,3,0,8,11,4,2,1,5,3,6,4,5,2,0,3,2,10,5,3,3
광주,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2,1,-1,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,4,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,3,12,22,6,8,16,7,6,8,15,3,9,5,7,1,1,1,5,0,10,1,0,4,9,2,0,1,0,0,1,0,0,0,1,0,2,1,0,0,0,2,0,0,6,2,2,1,7,7,4,6,1,5,11,17,1,4,7,39,17,16,2,9,4,10,6,11,8,7,9,13,17,5,8,3,3,3,1,2,1,0,0,0,1,0,2,0,2,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,2,0,1,0,6,0,0,0,0,0,2,0,0
대전,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,2,0,0,1,-1,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,6,1,0,3,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,6,5,10,0,4,8,4,4,2,6,2,5,4,1,4,3,8,2,2,2,6,7,2,1,0,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,8,7,5,15,10,11,7,3,3,4,6,7,8,14,4,4,2,5,5,4,8,11,11,7,2,1,3,1,2,3,2,2,2,0,0,1,0,1,0,0,0,2,0,0,2,2,1,3,2,7,5,1,2,13,10,4,1,2,0,1,2,1,4,0,0,5,1,1,5,7,0,0,0
울산,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,0,0,0,1,0,0,1,0,2,0,1,0,0,2,6,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,3,0,3,0,0,1,3,3,1,0,2,2,1,0,3,5,6,5,8,3,1,1,3,3,4,4,5,1,7,1,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,1,0,0,0,1,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,2,0
세종,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,1,1,3,2,2,5,17,6,1,1,0,1,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,0,3,3,0,0,2,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
경기,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,7,9,10,10,11,11,11,12,3,7,15,11,20,31,15,18,14,12,16,14,15,21,14,11,21,15,15,13,23,17,23,23,10,8,10,6,10,9,9,4,3,8,6,4,1,4,0,2,2,0,1,1,2,6,3,3,2,0,2,0,2,1,0,0,1,2,4,6,4,8,2,6,3,4,0,3,1,10,0,6,13,6,6,2,6,21,20,13,12,12,15,12,15,13,8,19,8,13,21,16,19,14,10,10,5,13,16,11,17,10,6,7,7,9,4,17,17,16,7,16,10,18,19,8,6,13,18,8,14,4,17,11,9,5,21,15,10,4,1,2,15,28,8,14,7,6,6,11,5,10,7,3,1,11,7,13,5,18,15,6,13,19,17,47,72,98,70,52,99,85,103,95,125,85,72,98,102,113,104,80,79,63,84,64,56,50,47,31,31,55,50,47,32,32,30,39,26,54,37,41,26,18,20,30,48,27,14,21,14,10,26,21,19,10,16,27,35,53,24,12,24,21,29,38,31,8,17,32,50,18,28,24,67,103,35,27,67,35,31,58,32,27
강원,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,1,2,2,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,2,0,2,1,2,1,3,0,2,2,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,1,3,0,1,2,6,5,9,16,15,6,8,18,14,3,0,2,3,4,2,4,3,3,5,0,0,0,2,0,3,1,0,1,0,0,0,0,0,0,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,1,0,3,2,1,3,2,2,1,0,0,0,6,14,7,6,0
